idx;stop_epoch;window_length;n_filters;kernel_size;n_conv_layer;LSTM1_units;LSTM2_units;n_window;val_rmse;val_score;rmse_combined;score_combined;AIC;train_loss;mle_term;params_term;geno_list
0;19;2;7;2;1;240;100;29;13,81747246;1043,94043;13,93726955;1055,920139;1197970,953;211,4129028;84948,95256;1113022;"[2; 7; 1; 12; 5]"
0;15;2;5;2;1;300;120;29;13,82271194;1018,107422;13,97750171;1033,586398;1547897,652;204,1677551;84395,65248;1463502;"[2; 5; 1; 15; 6]"
0;17;2;3;2;1;320;100;29;13,8307991;929,6295776;13,97682304;944,2319717;1460239,411;226,1393738;86017,41097;1374222;"[2; 3; 1; 16; 5]"
0;19;2;5;2;1;260;200;29;13,84863663;1083,22937;14,01399803;1099,765511;1653614,056;163,0978394;80832,05561;1572782;"[2; 5; 1; 13; 10]"
0;19;2;5;2;1;400;100;29;13,85539436;1006,6875;14,0772479;1028,872854;2218535,397;220,7320404;85633,39738;2132902;"[2; 5; 1; 20; 5]"
0;20;2;4;2;1;300;220;29;13,8632288;1130,450806;14,06221616;1150,349542;1989873,608;161,8644409;80711,60823;1909162;"[2; 4; 1; 15; 11]"
0;14;2;3;2;1;200;100;29;13,87893677;981,8673706;13,95722825;989,6965193;782914,8675;218,7857056;85492,86746;697422;"[2; 3; 1; 10; 5]"
0;15;2;5;2;1;120;100;29;13,88056469;989,4469604;13,93191328;994,5818199;513485,9485;215,108902;85223,94852;428262;"[2; 5; 1; 6; 5]"
0;15;2;7;2;1;300;160;29;13,88482571;1128,905029;14,07143842;1147,566301;1866127,18;174,9506073;81945,18005;1784182;"[2; 7; 1; 15; 8]"
0;15;3;5;3;1;320;180;28;13,88693428;1060,134399;14,10328592;1081,769564;2163516,421;170,2649231;81514,42123;2082002;"[3; 5; 1; 16; 9]"
0;14;2;3;2;1;220;180;29;13,88920212;993,3724365;14,00885207;1005,337432;1196499,538;169,8695984;81477,53806;1115022;"[2; 3; 1; 11; 9]"
0;19;2;5;2;1;180;100;29;13,89735699;1026,519531;13,97469716;1034,253549;773401,7274;218,3292236;85459,72743;687942;"[2; 5; 1; 9; 5]"
0;15;2;5;2;1;220;120;29;13,90300846;1029,770874;14,00772624;1040,242652;1047177,79;193,1543579;83515,7903;963662;"[2; 5; 1; 11; 6]"
0;16;3;5;3;1;220;100;28;13,9054327;1050,605225;14,01559514;1061,621468;1101624,343;215,0871429;85222,34344;1016402;"[3; 5; 1; 11; 5]"
0;15;3;7;3;1;220;220;28;13,91262722;1089,265137;14,08910627;1106,913042;1764790,5;160,8565521;80612,49957;1684178;"[3; 7; 1; 11; 11]"
0;15;2;4;2;1;180;160;29;13,91569519;1145,673218;14,00977244;1155,080943;940772,5412;170,0088654;81490,54123;859282;"[2; 4; 1; 9; 8]"
0;18;2;8;2;2;280;220;29;13,91637611;1212,805298;14,12609756;1233,777442;2097214,45;140,2420502;78436,44956;2018778;"[2; 8; 2; 14; 11]"
0;19;2;4;2;2;260;200;29;13,92160034;1179,246582;14,08122629;1195,209177;1596259,509;160,9884949;80625,50916;1515634;"[2; 4; 2; 13; 10]"
0;19;2;6;2;1;220;180;29;13,9245739;1100,75;14,05900759;1114,193369;1344336,896;165,4045868;81054,89575;1263282;"[2; 6; 1; 11; 9]"
0;15;2;4;2;1;220;220;29;13,93032932;1118,539307;14,07474821;1132,981195;1444188,843;164,2820282;80946,8434;1363242;"[2; 4; 1; 11; 11]"
0;18;2;7;2;1;300;140;29;13,93141365;1106,371338;14,10850212;1124,080184;1770884,659;185,8328705;82902,65884;1687982;"[2; 7; 1; 15; 7]"
0;18;2;8;2;1;260;160;29;13,9319706;1062,036377;14,09508557;1078,347875;1631149,769;175,8636169;82027,76939;1549122;"[2; 8; 1; 13; 8]"
0;19;2;5;2;1;260;140;29;13,93324089;1076,197266;14,06994068;1089,867245;1366997,911;184,8196564;82815,9107;1284182;"[2; 5; 1; 13; 7]"
0;15;2;3;2;1;140;140;29;13,93958092;1023,385742;14,00461849;1029,8895;650375,7704;186,4324493;82953,77037;567422;"[2; 3; 1; 7; 7]"
0;15;2;3;2;1;140;140;29;13,93958092;1023,385742;14,00461849;1029,8895;650375,7704;186,4324493;82953,77037;567422;"[2; 3; 1; 7; 7]"
0;15;2;3;2;1;140;140;29;13,93958092;1023,385742;14,00461849;1029,8895;650375,7704;186,4324493;82953,77037;567422;"[2; 3; 1; 7; 7]"
0;19;2;9;2;1;380;260;29;13,93998337;1175,574097;14,2738563;1208,96139;3338729,307;148,5283203;79347,30723;3259382;"[2; 9; 1; 19; 13]"
0;18;2;7;2;1;200;140;29;13,96101475;1140,384399;14,07115335;1151,39826;1101386,064;187,0243225;83004,06406;1018382;"[2; 7; 1; 10; 7]"
0;18;2;6;2;1;140;140;29;13,96888542;1063,732544;14,04332542;1071,176544;744399,9726;180,9249573;82477,97256;661922;"[2; 6; 1; 7; 7]"
0;15;2;4;2;1;280;120;29;13,97001076;1082,578247;14,10499301;1096,076472;1349822,533;195,9096985;83740,53334;1266082;"[2; 4; 1; 14; 6]"
0;15;2;3;2;1;100;100;29;13,98060799;990,1922607;14,02019352;994,1508138;395855,3043;232,1451263;86433,30429;309422;"[2; 3; 1; 5; 5]"
