0,15.0,3.0,8.0,3.0,1.0,200.0,180.0,28.0,14.625247955322266,1251.719970703125,14.774362051894904,1266.631380360389,1491140.9657263868,171.1314239501953,81594.9657263867,1409546.0,"[3, 8, 1, 10, 9]"
0,15.0,3.0,9.0,3.0,1.0,400.0,140.0,28.0,13.355955123901367,960.5582275390625,13.674275085288004,992.3902236777261,3183199.6138663604,183.30816650390625,82685.61386636022,3100514.0,"[3, 9, 1, 20, 7]"
0,20.0,2.0,3.0,2.0,2.0,160.0,140.0,29.0,15.681958198547363,2006.418701171875,15.755375089226648,2013.7603902398034,734168.9067928467,175.4555206298828,81990.90679284671,652178.0,"[2, 3, 2, 8, 7]"
0,19.0,1.0,8.0,1.0,1.0,260.0,260.0,30.0,14.626575469970703,1379.177490234375,14.82042874888595,1398.5628181258996,1938532.7891524665,132.99681091308594,77594.78915246647,1860938.0,"[1, 8, 1, 13, 13]"
0,18.0,1.0,5.0,1.0,2.0,240.0,100.0,30.0,14.198319435119629,1194.7032470703125,14.29384171097068,1204.2554746554176,955222.7585105054,192.00096130371094,83420.75851050542,871802.0,"[1, 5, 2, 12, 5]"
0,14.0,5.0,2.0,5.0,1.0,220.0,220.0,26.0,15.146742820739746,1212.4912109375,15.296164126601576,1227.4333415236829,1494213.058618298,173.39056396484375,81803.05861829798,1412410.0,"[5, 2, 1, 11, 11]"
0,15.0,3.0,2.0,3.0,2.0,400.0,180.0,28.0,14.36935043334961,1141.1932373046875,14.61654516607014,1165.9127105767404,2471947.3272053,176.725341796875,82105.32720529995,2389842.0,"[3, 2, 2, 20, 9]"
0,14.0,3.0,2.0,3.0,2.0,260.0,120.0,28.0,14.120902061462402,1067.76513671875,14.237834482185304,1079.45837879104,1169324.2072290168,210.52545166015625,84882.20722901687,1084442.0,"[3, 2, 2, 13, 6]"
0,19.0,2.0,7.0,2.0,1.0,140.0,140.0,29.0,14.280757904052734,1201.16796875,14.358339869967997,1208.9261653415263,775819.6591526292,180.01148986816406,82397.65915262916,693422.0,"[2, 7, 1, 7, 7]"
0,20.0,2.0,7.0,2.0,1.0,180.0,180.0,29.0,14.286626815795898,1209.3489990234375,14.401212702541926,1220.8075876980402,1145858.867460271,173.3229217529297,81796.86746027114,1064062.0,"[2, 7, 1, 9, 9]"
0,15.0,5.0,1.0,5.0,2.0,320.0,260.0,26.0,16.04522705078125,1989.943603515625,16.27454700304872,2012.875598742372,2293199.5226746993,184.51254272460938,82789.52267469911,2210410.0,"[5, 1, 2, 16, 13]"
0,16.0,4.0,6.0,4.0,1.0,260.0,140.0,27.0,14.158370018005371,1098.5592041015625,14.33593748147528,1116.3159504485534,1775674.6346990915,190.98570251464844,83336.63469909158,1692338.0,"[4, 6, 1, 13, 7]"
0,16.0,5.0,3.0,5.0,1.0,100.0,100.0,26.0,15.039083480834961,1249.0302734375,15.088755868760797,1253.9975122300837,496723.87925836886,229.47694396972656,86249.87925836886,410474.0,"[5, 3, 1, 5, 5]"
0,20.0,1.0,9.0,1.0,1.0,340.0,120.0,30.0,14.043991088867188,1171.8128662109375,14.223648474811787,1189.7786048053974,1796573.8594459975,181.44894409179688,82523.85944599756,1714050.0,"[1, 9, 1, 17, 6]"
0,20.0,4.0,9.0,4.0,1.0,220.0,200.0,27.0,14.235867500305176,1272.104736328125,14.439126899073694,1292.4306762049769,2032593.9876851817,163.0560302734375,80827.98768518168,1951766.0,"[4, 9, 1, 11, 10]"
0,15.0,5.0,6.0,5.0,2.0,240.0,160.0,26.0,14.83691692352295,1242.6312255859375,15.023884542499777,1261.3279874836203,1869676.1897682855,155.4124298095703,80066.1897682856,1789610.0,"[5, 6, 2, 12, 8]"
0,20.0,1.0,6.0,1.0,2.0,360.0,260.0,30.0,14.131220817565918,1389.4017333984375,14.39645441496302,1415.9250931381478,2652335.9739710344,122.96159362792969,76349.9739710345,2575986.0,"[1, 6, 2, 18, 13]"
0,15.0,3.0,4.0,3.0,2.0,280.0,100.0,28.0,14.46805477142334,1194.05908203125,14.60780049453348,1208.033654342264,1397457.231101405,203.4943389892578,84343.23110140504,1313114.0,"[3, 4, 2, 14, 5]"
0,20.0,3.0,4.0,3.0,2.0,400.0,120.0,28.0,14.43294620513916,1315.906494140625,14.673634033141846,1339.9752769408935,2406878.2800268545,190.83705139160156,83324.28002685469,2323554.0,"[3, 4, 2, 20, 6]"
0,14.0,3.0,3.0,3.0,1.0,400.0,200.0,28.0,13.90788459777832,1043.26416015625,14.181108892940234,1070.5865896724413,2732242.9516191343,190.98951721191406,83336.9516191345,2648906.0,"[3, 3, 1, 20, 10]"
0,15.0,4.0,7.0,4.0,2.0,360.0,220.0,27.0,15.098587989807129,1437.2705078125,15.42627098664781,1470.038807496568,3276829.9684068034,134.2192840576172,77739.96840680334,3199090.0,"[4, 7, 2, 18, 11]"
0,15.0,4.0,4.0,4.0,1.0,220.0,220.0,27.0,14.612288475036621,1211.742431640625,14.776420421611364,1228.1556262980994,1641319.4657474377,162.0875701904297,80733.46574743761,1560586.0,"[4, 4, 1, 11, 11]"
0,15.0,2.0,2.0,2.0,2.0,240.0,200.0,29.0,15.158373832702637,1287.8885498046875,15.294190813628813,1301.4702478973052,1358169.809261758,167.51231384277344,81255.80926175814,1276914.0,"[2, 2, 2, 12, 10]"
0,18.0,5.0,9.0,5.0,2.0,80.0,80.0,26.0,15.803211212158203,1370.3526611328125,15.869224724020972,1376.9540123190893,660135.1186276895,252.72633361816406,87781.11862768958,572354.0,"[5, 9, 2, 4, 4]"
